,$,main,par_init,par_fin,key_init,key_fin,id,break_line,comma,number,texto,char,true,false,oper_asign,if,else,while,for,return,not,input,break,output,oper_suma,oper_dif,oper_mod,oper_div,oper_mult,and,or,oper_identico,oper_diferente,oper_mayor,oper_menor,oper_menorigu,oper_mayorigu,character,boolean,string,integer
S,,S ::= PROGRAM $,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S ::= PROGRAM $,S ::= PROGRAM $,S ::= PROGRAM $,S ::= PROGRAM $
PROGRAM,,PROGRAM ::= FUNCION INICIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROGRAM ::= FUNCION INICIO,PROGRAM ::= FUNCION INICIO,PROGRAM ::= FUNCION INICIO,PROGRAM ::= FUNCION INICIO
FUNCION,,FUNCION ::= ε,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FUNCION ::= FUNC_INIT FUNCION,FUNCION ::= FUNC_INIT FUNCION,FUNCION ::= FUNC_INIT FUNCION,FUNCION ::= FUNC_INIT FUNCION
INICIO,,INICIO ::= main par_init par_fin key_init PARRAFO key_fin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARRAFO,,,,,,PARRAFO ::= ε,PARRAFO ::= ORACION MAS,,,,,,,,,PARRAFO ::= ORACION MAS,,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,,,,,,,,,,,,,,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS,PARRAFO ::= ORACION MAS
MAS,,,,,,MAS ::= PARRAFO,MAS ::= PARRAFO,,,,,,,,,MAS ::= PARRAFO,,MAS ::= PARRAFO,MAS ::= PARRAFO,MAS ::= PARRAFO,,MAS ::= PARRAFO,MAS ::= PARRAFO,MAS ::= PARRAFO,,,,,,,,,,,,,,MAS ::= PARRAFO,MAS ::= PARRAFO,MAS ::= PARRAFO,MAS ::= PARRAFO
ORACION,,,,,,,ORACION ::= id LLAMADA,,,,,,,,,ORACION ::= LUGAR,,ORACION ::= LUGAR,ORACION ::= LUGAR,ORACION ::= LUGAR,,ORACION ::= LUGAR,ORACION ::= LUGAR,ORACION ::= LUGAR,,,,,,,,,,,,,,ORACION ::= VARIABLES,ORACION ::= VARIABLES,ORACION ::= VARIABLES,ORACION ::= VARIABLES
LLAMADA,,,LLAMADA ::= FUNCION_INI,,,,,LLAMADA ::= VARIABLE_FORMA,,,,,,,LLAMADA ::= VARIABLE_FORMA,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCION_INI,,,FUNCION_INI ::= par_init INDICADORES par_fin break_line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDICADORES,,,,INDICADORES ::= ε,,,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,,,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,INDICADORES ::= VALOR_PARAMETRO PARAMETRO,,,,,,,,,,,,,,,,,,,,,,,,,,,
